1::Benadryl 1::Cold|Cough
2::diphenhydramine 1::Cold
3::chlorpheniramine 1::Cold
4::Tussionex Pennkinetic 1::Cold
5::Acetaminophen 1::Cold
6::chlorpheniramine 1::Cold
7::phenylephrine 1::Cold
8::Tylenol Cold 1::Cold
9::Banophen 1::Cold
10::Chlor­Trimeton 1::Cold
11::Coricidin HBP Maximum Strength Flu 1::Cold
12::TussiCaps 1::Cold
13::Tylenol Cold MultiSymptom 1::Cold
14::Sudafed PE Sinus & Allergy 1::Cold
15::pseudoephedrine /triprolidine 1::Cold
16::Sudafed PE Cold & Cough 1::Cold
17::Vicks Nyquil D Cold and Flu Nighttime Relief 1::Cold
18::Coricidin HBP Cold & Flu 1::Cold
19::Vicks Dayquil Cold & Flu Relief 1::Cold
20::Promethazine DM 1::Cold
21::carboplatin 1::Cancer
22::Adriamycin 1::Cancer
23::Cytoxan 1::Cancer
24::Adrucil 1::Cancer
25::fluorouracil 1::Cancer
26::cyclophosphamide 1::Cancer
27::doxorubicin 1::Cancer
28::etoposide 1::Cancer
29::Paraplatin 1::Cancer
30::Cosmegen 1::Cancer
31::Ethyol 1::Cancer
32::Cytoxan Lyophilized 1::Cancer
33::Leukeran 1::Cancer
34::Vincasar PFS 1::Cancer
35::Oncovin 1::Cancer
36::Toposar 1::Cancer
37::vincristine 1::Cancer
38::Etopophos 1::Cancer
39::Fludara 1::Cancer
40::Neosar 1::Cancer
41::amifostine 1::Cancer
42::chlorambucil 1::Cancer
43::Hycamtin 1::Cancer
44::Ifex 1::Cancer
45::Mustargen 1::Cancer
46::Aricept 1::Alzheimer
47::Namenda 1::Alzheimer
48::donepezil 1::Alzheimer
49::Exelon 1::Alzheimer
50::Aricept ODT 1::Alzheimer
51::memantine 1::Alzheimer
52::Namenda XR 1::Alzheimer
53::Razadyne ER 1::Alzheimer
54::galantamine 1::Alzheimer
55::Razadyne 1::Alzheimer
56::rivastigmine 1::Alzheimer
57::Alpha E 1::Alzheimer
58::vitamin e 1::Alzheimer
59::Hydergine 1::Alzheimer
60::Namzaric 1::Alzheimer
61::Aqua-E 1::Alzheimer
62::Aqua Gem-E 1::Alzheimer
63::Aquasol E 1::Alzheimer
64::Aquavite-E 1::Alzheimer
65::Nutr-E-Sol 1::Alzheimer
66::donepezil / memantine 1::Alzheimer
67::E-400 Clear 1::Alzheimer
68::E-600 1::Alzheimer
69::E-Gems 1::Alzheimer
70::ergoloid mesylates 1::Alzheimer
71::sumatriptan 1::Migraine
72::Imitrex 1::Migraine
73::Maxalt 1::Migraine
74::Relpax 1::Migraine
75::Amerge 1::Migraine
76::Axert 1::Migraine
77::Butalbital Compound 1::Migraine
78::Treximet 1::Migraine
79::Zomig 1::Migraine
80::Maxalt-MLT 1::Migraine
81::Excedrin Migraine 1::Migraine
82::Cambia 1::Migraine
83::Fiorinal 1::Migraine
84::gabapentinOFF LABEL 1::Migraine
85::Frova 1::Migraine
86::rizatriptan 1::Migraine
87::Reglan 1::Migraine
88::cyclobenzaprineOFF LABEL 1::Migraine
89::Excedrin 1::Migraine
90::aspirin / butalbital / caffeine 1::Migraine
91::naratriptan 1::Migraine
92::NorflexOFF LABEL 1::Migraine
93::Botox 1::Migraine
94::MethergineOFF LABEL 1::Migraine
95::Migranal 1::Migraine
96::Cafergot 1::Migraine
97::diclofenac 1::Migraine
98::Imitrex Statdose 1::Migraine
99::almotriptan 1::Migraine
100::zolmitriptan 1::Migraine
101::metoclopramide 1::Migraine
102::naproxen / sumatriptan 1::Migraine
103::acetaminophen / aspirin / caffeine 1::Migraine
104::eletriptan 1::Migraine
105::Imitrex Nasal 1::Migraine
106::Sumavel DosePro 1::Migraine
107::cyproheptadine 1::Migraine
108::dihydroergotamine 1::Migraine
109::frovatriptan 1::Migraine
110::Migergot 1::Migraine
111::orphenadrineOFF LABEL 1::Migraine
112::Zomig-ZMT 1::Migraine
113::acetaminophen / aspirin / caffeine / salicylamide 1::Migraine
114::Alsuma 1::Migraine
115::caffeine / ergotamine 1::Migraine
116::ergotamine 1::Migraine
117::venlafaxineOFF LABEL 1::Migraine
118::AntiflexOFF LABEL 1::Migraine
119::D.H.E. 45 1::Migraine
120::Farbital 1::Migraine
121::NorflexOFF LABEL 1::Migraine
122::onabotulinumtoxinA 1::Migraine
123::Onzetra Xsail 1::Migraine
124::OrfroOFF LABEL 1::Migraine
125::orphenadrineOFF LABEL 1::Migraine
126::OrphenateOFF LABEL 1::Migraine
127::Painaid 1::Migraine
128::Reglan 1::Migraine
129::Relpax 1::Migraine
130::rizatriptan 1::Migraine
131::sumatriptan 1::Migraine
132::Sumavel DosePro 1::Migraine
133::Treximet 1::Migraine
134::Vanquish 1::Migraine
135::venlafaxineOFF LABEL 1::Migraine
136::Zecuity 1::Migraine
137::Zembrace SymTouch 1::Migraine
138::zolmitriptan 1::Migraine
139::Zomig 1::Migraine
140::Zomig-ZMT 1::Migraine
141::Cymbalta 1::Depression
142::Lexapro 1::Depression
143::Zoloft 1::Depression
144::Celexa 1::Depression
145::Prozac 1::Depression
146::Wellbutrin XL 1::Depression
147::citalopram 1::Depression
148::Abilify 1::Depression
149::bupropion 1::Depression
150::Xanax 1::Depression
151::Effexor XR 1::Depression
152::sertraline 1::Depression
153::Wellbutrin 1::Depression
154::fluoxetine 1::Depression
155::Pristiq 1::Depression
156::Effexor 1::Depression
157::Paxil 1::Depression
158::venlafaxine 1::Depression
159::Wellbutrin SR 1::Depression
160::trazodone 1::Depression
161::Remeron 1::Depression
162::Viibryd 1::Depression
163::escitalopram 1::Depression
164::mirtazapine 1::Depression
165::paroxetine 1::Depression
166::Seroquel XR 1::Depression
167::amitriptyline 1::Depression
168::alprazolam 1::Depression
169::Deplin 1::Depression
170::ZyprexaOFF LABEL 1::Depression
171::duloxetine 1::Depression
172::nortriptyline 1::Depression
173::tramadolOFF LABEL 1::Depression
174::Fetzima 1::Depression
175::lamotrigineOFF LABEL 1::Depression
176::Alprazolam Intensol 1::Depression
177::aripiprazole 1::Depression
178::Budeprion SR 1::Depression
179::Budeprion XL 1::Depression
180::Desyrel 1::Depression
181::Niravam 1::Depression
182::Oleptro 1::Depression
183::quetiapine 1::Depression
184::Serzone 1::Depression
185::Xanax XR 1::Depression
186::Aplenzin 1::Depression
187::Desyrel Dividose 1::Depression
188::doxepin 1::Depression
189::Forfivo XL 1::Depression
190::lithiumOFF LABEL 1::Depression
191::olanzapineOFF LABEL 1::Depression
192::Paxil CR 1::Depression
193::risperidoneOFF LABEL 1::Depression
194::Symbyax 1::Depression
195::Asendin 1::Depression
196::desipramine 1::Depression
197::desvenlafaxine 1::Depression
198::Emsam 1::Depression
199::imipramine 1::Depression
200::Irenka 1::Depression
